N,TL,TR,current_trail,thread_1,thread_2,thread_3,thread_4,thread_5,thread_6,thread_7,thread_8,Mean,std_div
Rate Function: sqrt(x*y/(x+y)),,,,,,,,,,,,,,
Test_1: Mean energy flux for changing length of the chain. Let N change from 2 to 100.,,,,,,,,,,,,,,
30,1,2,5,2749.76,3033.32,3033.15,3447.87,2773.84,2443.65,1283.88,1540.81,0.126914,
30,1,2,6,2749.76,3033.32,3033.15,3447.87,2773.84,2443.65,1283.88,1540.81,0.126914,
30,1,2,7,1545.86,2323.06,2521.65,2448.86,1542.1,2284.05,2560.9,2022.07,0.107803,
30,1,2,8,1545.86,2323.06,2521.65,2448.86,1542.1,2284.05,2560.9,2022.07,0.107803,
30,1,2,9,1545.86,2323.06,2521.65,2448.86,1542.1,2284.05,2560.9,2022.07,0.107803,
30,1,2,10,1545.86,2323.06,2521.65,2448.86,1542.1,2284.05,2560.9,2022.07,0.107803,
,,,,,,,,,,,,,=STDEV.S(M148:M157),
,,,,,,,,,,,,,,
35,1,2,1,2810.59,3256.9,2867.96,2018.69,2082.25,1452.04,2758.99,2480.41,0.123299,
35,1,2,2,2636.69,3057.4,2359.72,2174.28,2492.1,2023.81,2227.54,2574.59,0.122163,
35,1,2,3,2636.69,3057.4,2359.72,2174.28,2492.1,2023.81,2227.54,2574.59,0.122163,
35,1,2,4,2636.69,3057.4,2359.72,2174.28,2492.1,2023.81,2227.54,2574.59,0.122163,
35,1,2,5,2636.69,3057.4,2359.72,2174.28,2492.1,2023.81,2227.54,2574.59,0.122163,
35,1,2,6,2745.58,2367.67,2422.05,2979.42,3640.72,1341.72,2956.47,3143.54,0.134982,
35,1,2,7,2745.58,2367.67,2422.05,2979.42,3640.72,1341.72,2956.47,3143.54,0.134982,
35,1,2,8,2745.58,2367.67,2422.05,2979.42,3640.72,1341.72,2956.47,3143.54,0.134982,
35,1,2,9,2745.58,2367.67,2422.05,2979.42,3640.72,1341.72,2956.47,3143.54,0.134982,
35,1,2,10,2811.46,2124.71,2265.6,1390.37,2307.55,3658.58,2301.26,1899.89,0.117246,
,,,,,,,,,,,,,=STDEV.S(M160:M169),
,,,,,,,,,,,,,,
40,1,2,1,2477.87,2843.74,2849.58,2816.02,2048.54,2720.25,3266.28,1205.17,0.126421,
40,1,2,2,2477.87,2843.74,2849.58,2816.02,2048.54,2720.25,3266.28,1205.17,0.126421,
40,1,2,3,2477.87,2843.74,2849.58,2816.02,2048.54,2720.25,3266.28,1205.17,0.126421,
40,1,2,4,2477.87,2843.74,2849.58,2816.02,2048.54,2720.25,3266.28,1205.17,0.126421,
40,1,2,5,1933.96,4413.97,1792.29,3053.04,2191.86,2334.17,2195.89,3074.21,0.131184,
40,1,2,6,1933.96,4413.97,1792.29,3053.04,2191.86,2334.17,2195.89,3074.21,0.131184,
40,1,2,7,1933.96,4413.97,1792.29,3053.04,2191.86,2334.17,2195.89,3074.21,0.131184,
40,1,2,8,2319.35,2541.38,3150.37,1897.97,2108.27,3316.62,2107.77,1000.33,0.115263,
40,1,2,9,2319.35,2541.38,3150.37,1897.97,2108.27,3316.62,2107.77,1000.33,0.115263,
40,1,2,10,2319.35,2541.38,3150.37,1897.97,2108.27,3316.62,2107.77,1000.33,0.115263,
,,,,,,,,,,,,,=STDEV.S(M172:M181),
,,,,,,,,,,,,,,
Test_2: Mean energy flux for changing difference of boundary temperatures. Fix TL = 1 and change TR from 1.5 to 10.0.,,,,,,,,,,,,,,
15,1,1.5,1,854.041,1112.06,1351.81,819.546,1082.17,954.9,1086.38,796.401,0.0503582,
15,1,1.5,2,854.041,1112.06,1351.81,819.546,1082.17,954.9,1086.38,796.401,0.0503582,
15,1,1.5,3,1042.17,595.88,1566.84,718.85,1473.12,1125.39,827.029,1203.89,0.0534574,
15,1,1.5,4,1042.17,595.88,1566.84,718.85,1473.12,1125.39,827.029,1203.89,0.0534574,
15,1,1.5,5,1042.17,595.88,1566.84,718.85,1473.12,1125.39,827.029,1203.89,0.0534574,
15,1,1.5,6,1042.17,595.88,1566.84,718.85,1473.12,1125.39,827.029,1203.89,0.0534574,
15,1,1.5,7,1042.17,595.88,1566.84,718.85,1473.12,1125.39,827.029,1203.89,0.0534574,
15,1,1.5,8,1042.17,595.88,1566.84,718.85,1473.12,1125.39,827.029,1203.89,0.0534574,
15,1,1.5,9,1042.17,595.88,1566.84,718.85,1473.12,1125.39,827.029,1203.89,0.0534574,
15,1,1.5,10,1042.17,595.88,1566.84,718.85,1473.12,1125.39,827.029,1203.89,0.0534574,
,,,,,,,,,,,,,=STDEV.S(M185:M194),
,,,,,,,,,,,,,,
15,1,2,1,3080.53,2890.93,2625.89,1404.35,2427.3,3474.81,2244.54,2321.85,0.127939,
15,1,2,2,3080.53,2890.93,2625.89,1404.35,2427.3,3474.81,2244.54,2321.85,0.127939,
